Time,Temperature
0,30.44
1,27.79
2,26.47
3,25.15
4,23.82
5,22.50
6,23.82
7,23.82
8,29.12
9,35.74
10,38.38
11,41.03
12,43.68
13,45.00
14,45.00
15,45.00
16,43.68
17,42.35
18,39.71
19,38.38
20,37.06
21,37.06
22,34.41
23,33.09
24,30.44
